,R_P,S_P
R_F-.S#.AV6,0.5102961774152079,0.4897038225847919
R_F-.S#.AX5,0.6342189274846806,0.36578107251531855
R_F-.S#.AX6,0.528664003882524,0.4713359961174774
R_F/,0.33728358928685054,0.6627164107131487
R_F=,0.0,1.0
R_R!,0.5866798316441435,0.41332016835585605
R_R!.S#,0.5999313975862052,0.40006860241379427
R_R!.S#.ACB,0.6126473350028283,0.3873526649971728
R_R!.S#.ACF,0.5918575434899231,0.40814245651007697
R_R!.S#.ANA,0.5230987648670997,0.4769012351328997
R_R!.S#.APP,0.622785188989164,0.3772148110108364
R_R!.S#.AV5,0.605392116021379,0.3946078839786197
R_R!.S#.AV6,0.5769889487680734,0.42301105123192484
R_R!.S#.AVP,0.5629123648455254,0.437087635154474
R_R!.S#.AX1,0.5820608744638384,0.4179391255361613
R_R!.S#.AX2,0.5628798946243657,0.43712010537563467
R_R!.S#.AX3,0.6077533564988489,0.39224664350115035
R_R!.S#.AX4,0.5758663338856309,0.4241336661143689
R_R!.S#.AX5,0.5968491227754669,0.4031508772245335
R_R!.S#.AX6,0.6097591019437725,0.3902408980562262
R_R!.S#.AX7,0.6212894906973914,0.3787105093026083
R_R!.S#.AX8,0.5660957858975725,0.43390421410242724
R_R!.S#.AX9,0.5543762460557912,0.44562375394420906
R_R!.S#.AXB,0.5446509727081871,0.4553490272918121
R_R!.S#.AXL,0.5725855167721143,0.4274144832278859
R_R!.S#.AXM,0.6363540512249247,0.3636459487750751
R_R!.S#.AXP,0.5995924761598217,0.40040752384017786
R_R!.S-,0.3235694918372699,0.6764305081627289
R_R!.S=,0.0,1.0
R_R#,0.6423011391198922,0.35769886088010766
R_R#.S#,0.651107911261463,0.3488920887385373
R_R#.S#.ACB,0.644008095438754,0.35599190456124663
R_R#.S#.ACF,0.6284453185504675,0.371554681449532
R_R#.S#.APP,0.6802082083437152,0.3197917916562843
R_R#.S#.AX1,0.6710886012937768,0.32891139870622327
R_R#.S#.AX2,0.6336957526653169,0.3663042473346832
R_R#.S#.AX3,0.6530307203928631,0.3469692796071379
R_R#.S#.AX4,0.6413507310775859,0.35864926892241555
R_R#.S#.AX5,0.6560775205737139,0.3439224794262852
R_R#.S#.AX6,0.6280436804443105,0.37195631955569036
R_R#.S#.AX7,0.6547226341199264,0.34527736588007407
R_R#.S#.AX8,0.6404128274619308,0.35958717253806866
R_R#.S#.AX9,0.6210853474683683,0.3789146525316317
R_R#.S#.AXM,0.6685243106917331,0.3314756893082668
R_R#.S#.AXP,0.6189251336127926,0.38107486638720683
R_R#.S#.AXR,0.5930538890983176,0.4069461109016823
R_R#.S#.AXS,0.7082114922430526,0.2917885077569463
R_R#.S-,0.3276644745325258,0.6723355254674743
R_R#.S=,0.0,1.0
R_R+,0.629866593876337,0.37013340612366197
R_R+.S#,0.635575577527794,0.36442442247220536
R_R+.S#.ACB,0.6591687920602953,0.34083120793970567
R_R+.S#.ACF,0.6218223333779846,0.3781776666220146
R_R+.S#.ANA,0.5348378902302058,0.4651621097697942
R_R+.S#.APP,0.684300168187278,0.31569983181272077
R_R+.S#.AV5,0.5271709498409619,0.472829050159037
R_R+.S#.AV6,0.5601390366509851,0.4398609633490143
R_R+.S#.AX0,0.5784159315463477,0.42158406845365265
R_R+.S#.AX1,0.6591703820039339,0.3408296179960655
R_R+.S#.AX2,0.6327906918600231,0.3672093081399772
R_R+.S#.AX3,0.6272800676168968,0.37271993238310314
R_R+.S#.AX4,0.6219803603415047,0.3780196396584946
R_R+.S#.AX5,0.6342764552930503,0.3657235447069493
R_R+.S#.AX6,0.6335959275489403,0.36640407245105966
R_R+.S#.AX7,0.6439843740045164,0.35601562599548314
R_R+.S#.AX8,0.6065282517273076,0.3934717482726921
R_R+.S#.AX9,0.6434017520129545,0.3565982479870467
R_R+.S#.AXB,0.5816782240493954,0.41832177595060327
R_R+.S#.AXM,0.6368459744361353,0.36315402556386495
R_R+.S#.AXP,0.5775792529793522,0.4224207470206469
R_R+.S#.AXR,0.5762262371025149,0.4237737628974859
R_R+.S#.AXS,0.7035965128775976,0.2964034871224025
R_R+.S-,0.3373525715438431,0.662647428456157
R_R+.S=,0.0,1.0
R_R-,0.5096868596263986,0.4903131403736002
R_R-.ANA,0.5819181851210027,0.4180818148789965
R_R-.S#,0.5310780875400205,0.46892191245997905
R_R-.S#.ACF,0.5692645369707502,0.43073546302924937
R_R-.S#.ANA,0.4761751190852251,0.5238248809147741
R_R-.S#.APP,0.5433296263657575,0.4566703736342421
R_R-.S#.AV0,0.4074151190206682,0.5925848809793306
