match_id;home_team;visiting_team;home_team_set;visiting_team_set;match_winner
898097568f81aac62bd9057bb7a3c079;University of Southern California;Oregon State University;3;1;University of Southern California
8a1a5d19021030c5f524f0130031a4f6;Virginia Tech;University of North Carolina;1;3;University of North Carolina
8a6cd7d72b494eddfe7cd438a639a19a;University of Maryland;University of Iowa;3;1;University of Maryland
8b6714b147ccf91a080475ed91232105;Kansas State University;Texas Christian University;2;3;Texas Christian University
8b85dc375eed9e710a3f08b1bc9b0c1a;University of Oklahoma;University of Kansas;0;3;University of Kansas
8b95d16bad9c510635d6c23dd6a780a3;University of Texas at Austin;Texas Tech University;3;0;University of Texas at Austin
8babbec731436d72e1764ccaa83226ff;University of Kentucky;University of Mississippi;3;1;University of Kentucky
8bb3302a2a65baac39b3ef7d233f7c6a;University of Iowa;Pennsylvania State University;2;3;Pennsylvania State University
8c389aae363c4e1e8766744344e7f00e;University of Michigan;University of Wisconsin-Madison;1;3;University of Wisconsin-Madison
8cf581c2d5e25b1497ca044f7d9657c0;University of Mississippi;University of Florida;0;3;University of Florida
8d2803bd1be4c0fd52c505c040bf834f;Louisiana State University;Mississippi State University;3;2;Louisiana State University
8de5fd3ef7d20f2d2904b980100ebe5d;University of Louisville;North Carolina State University;3;0;University of Louisville
8e6742e5ea9db364de7829246218e66e;University of Arizona;Oregon State University;3;2;University of Arizona
8eb09cd04fabb33c6757c052ed2bd52a;University of Tennessee;University of Georgia;3;2;University of Tennessee
8eeceb71b654e408c338fa90821d5d34;Ohio State University;University of Minnesota;1;3;University of Minnesota
8ef89b32e357df1babd2813edfa48c57;Syracuse University;Boston College;3;2;Syracuse University
8f6e88e66c29cb65567d4f82c0cf0099;Boston College;University of Pittsburgh;1;3;University of Pittsburgh
8fb1d644dafa72c45ddb5d6da7ff7fa5;Gonzaga University;Brigham Young University;1;3;Brigham Young University
90b5f3fb084ea9a021ed5e6eb011b00d;Santa Clara University;University of Portland;3;2;Santa Clara University
912c35ddcb0af69b727e04f6a394b292;University of Washington;University of Colorado, Boulder;0;3;University of Colorado, Boulder
91c3e89af0e421bed2a9ae3b66205e91;University of Colorado, Boulder;University of Oregon;2;3;University of Oregon
92200a2a1a540d2a35d46a2954c9232d;University of the Pacific;Gonzaga University;3;1;University of the Pacific
924701dccd85ed3205b2b91c2fcadd9f;Arizona State University;University of California, Los Angeles;0;3;University of California, Los Angeles
92485cd9ddc501d3b0892f5d0171c2d4;University of Georgia;University of South Carolina;3;2;University of Georgia
926a07e1cfca26a1f870fe482e568113;University of Maryland;University of Michigan;1;3;University of Michigan
9286e953cf83c8b7d65e19f022e0b841;University of California, Los Angeles;Arizona State University;3;0;University of California, Los Angeles
92bcf425cbd37e2a835e5ccab3af623c;Virginia Tech;North Carolina State University;1;3;North Carolina State University
92f04e98f25695615f1b14d51e3f485b;University of Arizona;Washington State University;1;3;Washington State University
93e9f0f4bedfd88cab50f246e815d8e0;University of Oregon;University of California, Los Angeles;3;2;University of Oregon
948de507c4b17133ddd50280a3809771;University of Pittsburgh;University of Notre Dame;3;0;University of Pittsburgh
948f9ae27472f2aeaed840fba8bf9100;Indiana University, Bloomington;Northwestern University;3;2;Indiana University, Bloomington
94f7c54190250f252fbbc46865cbe4a9;Wake Forest University;Virginia Tech;3;1;Wake Forest University
95f6b0280aba566949e19321978f8f51;University of San Francisco;Pepperdine University;0;3;Pepperdine University
960fe2d29b6b81862a4d112f1ee1c36b;Georgia Institute Of Technology;Clemson University;3;0;Georgia Institute Of Technology
968985e04f4c7b6d0eceaedacc08d32c;University of Alabama;Auburn University;1;3;Auburn University
968a882b496116a03cc634eeaa49b535;Purdue University;Ohio State University;1;3;Ohio State University
96a7fcf820e06b1d008129f941531443;University of Iowa;University of Wisconsin-Madison;0;3;University of Wisconsin-Madison
96aef003b1eda1c161baf26a40410a49;Pepperdine University;University of the Pacific;3;0;Pepperdine University
96c18db9717c30085fb6e6a59b87719a;Duke University;Boston College;3;2;Duke University
96ec98e60f0cf6c829a96a4fb0df43db;Oregon State University;Arizona State University;2;3;Arizona State University
982840a69405d6e5f2f1414d15c6c9af;University of Michigan;University of Illinois Urbana-Champaign;1;3;University of Illinois Urbana-Champaign
98356a46bd0a253648cdb49157e92677;University of California, Los Angeles;University of Colorado, Boulder;1;3;University of Colorado, Boulder
987b94ee400b6f0ab2b449a0ba5710dd;University of Michigan;Purdue University;1;3;Purdue University
98ae24ca84c4c897abfb314bd4424d40;University of Arizona;University of Southern California;1;3;University of Southern California
997c00a9da6f245bc176e4f94e60749f;University of Southern California;University of California, Berkeley;3;2;University of Southern California
997c7e6b9f3b44806e43d0d89bb916c9;University of Utah;University of Southern California;3;0;University of Utah
9a3ae87d84a15caf2efdc882f0bd161c;Loyola Marymount University;University of San Francisco;1;3;University of San Francisco
9af01770567bf0e5d7c52b721826d973;University of Minnesota;University of Michigan;3;0;University of Minnesota
9bbcc74234c9568b32162cd4489edc86;Georgia Institute Of Technology;Wake Forest University;3;0;Georgia Institute Of Technology
9bda3f282e108b3ec957664db2989cfb;University of Arizona;University of California, Berkeley;3;0;University of Arizona
9be0e82f5664540063f486d69faaa292;North Carolina State University;University of Virginia;3;1;North Carolina State University
9c519960d4551775df38442eebd9112c;University of North Carolina;University of Louisville;0;3;University of Louisville
9cbaf52f1786d0e1624529a388f8f6a0;University of Iowa;Indiana University, Bloomington;3;2;University of Iowa
9d10dbb9f9fbe446b27d1ac71efe594b;Indiana University, Bloomington;Michigan State University;3;2;Indiana University, Bloomington
9d2816857c4e0ef2678e688721da0933;Texas Tech University;University of Kansas;3;0;Texas Tech University
9d33c7279fa1ae27ec87372d210741a4;Stanford University;University of Southern California;3;0;Stanford University
9da4a60ce19c4767cfbe7c5fed7a9ff0;University of San Francisco;Loyola Marymount University;2;3;Loyola Marymount University
9dc32978ede8cf252ffd50186b77495e;Pepperdine University;Gonzaga University;3;0;Pepperdine University
9deda7f68231f3bbc41949c7e480180d;Washington State University;Arizona State University;3;0;Washington State University
9e3a15491415fcec0a3d895a155c7090;Auburn University;University of Tennessee;3;1;Auburn University
9ec93966012ebdaa09e65bca0a611391;University of South Carolina;University of Florida;3;2;University of South Carolina
9f33ff25fc4f5c216b6d22a4a233f0f7;University of Iowa;University of Maryland;1;3;University of Maryland
a09aaa6c14fad39322f599ed7cbb4e6e;Arizona State University;University of California, Berkeley;3;0;Arizona State University
a0df855cf3c845e82960e13aa5c50940;Northwestern University;Ohio State University;0;3;Ohio State University
a13e7bbbfb0cc1973bb18f63561344c7;Santa Clara University;Brigham Young University;0;3;Brigham Young University
a1a4d3ef2dda0e66fbe0bb63d842b58f;Pennsylvania State University;Purdue University;3;2;Pennsylvania State University
a1b30504a2382019e5e0adff0d5f5b32;Purdue University;Rutgers University;3;0;Purdue University
a1b3bf1429adde754388a3b4bdedb572;Indiana University, Bloomington;University of Wisconsin-Madison;0;3;University of Wisconsin-Madison
a231a5923b999db411e84ea5c4d7b5d7;University of Nebraska-Lincoln;Purdue University;3;0;University of Nebraska-Lincoln
a29d463fcfd39a8561e4f90318e32ebb;University of Wisconsin-Madison;Northwestern University;3;0;University of Wisconsin-Madison
a2b96fe6ca028a93df78d2a16800edb4;West Virginia University;Iowa State University;0;3;Iowa State University
a2e68e95126ddef86e1bdd0977b3e265;Michigan State University;University of Iowa;2;3;University of Iowa
a30eda904ac80600a15adf0650e3cbe9;University of Notre Dame;North Carolina State University;1;3;North Carolina State University
a401aa74389bb558a684c893e88cb2cf;Gonzaga University;University of San Francisco;0;3;University of San Francisco
a4aafd414f13a187595fea2097a3cf00;Rutgers University;University of Illinois Urbana-Champaign;1;3;University of Illinois Urbana-Champaign
a4abbbea9f0275941b7e0dbc6b432bfb;Mississippi State University;University of Florida;0;3;University of Florida
a5fea50479c166aba9eb0e4f4297fae7;Syracuse University;Florida State University;1;3;Florida State University
a63d3ea0c9aa04302aee775e7eb43fd3;Pepperdine University;Santa Clara University;3;0;Pepperdine University
a68b2605c057c76017608c750581c02d;University of San Francisco;Brigham Young University;1;3;Brigham Young University
a70735d6f0e088379d2da7e1d846bfdd;University of Michigan;University of Nebraska-Lincoln;0;3;University of Nebraska-Lincoln
a73adb955247aac7da2ce12f1dd43d6a;University of San Francisco;University of Portland;3;2;University of San Francisco
a768e6d50f7c2bcd31418cf30b4bc77b;University of Kentucky;University of Tennessee;3;1;University of Kentucky
a7721d9a7e45b7a2f7bec6ffaadbf76d;Oregon State University;University of Southern California;0;3;University of Southern California
a83545a1243852d2f444c3f472a2aeaa;Wake Forest University;University of Pittsburgh;0;3;University of Pittsburgh
a89a9a88954c82e077b4351caf515c89;University of Tennessee;University of South Carolina;3;0;University of Tennessee
a8ca150caaca3686f52621662511298f;Northwestern University;University of Michigan;1;3;University of Michigan
a906b440c06f1be6f9839f4c740e0f61;University of Kentucky;University of Alabama;3;1;University of Kentucky
a926cee22098abd29905d67ddcba4ccf;Clemson University;Syracuse University;0;3;Syracuse University
a99b9f17fc2af38f6088ddd42b49dee3;University of Texas at Austin;University of Oklahoma;3;0;University of Texas at Austin
aa0f4ba1a29ebfcd200984bcf279da5a;Loyola Marymount University;Pepperdine University;3;1;Loyola Marymount University
aae6b91cd3d21d72c2b74f564690f03d;University of Georgia;University of Mississippi;3;1;University of Georgia
abc7c42f13aa2fce470e9b6a126a1063;Brigham Young University;Pepperdine University;3;1;Brigham Young University
abd00ed2d215441320dde5b15b4780e7;University of Washington;University of Arizona;3;0;University of Washington
abd56272c39de044e4aef29301957b33;Ohio State University;University of Michigan;3;0;Ohio State University
abfcc3b7086072725744efbe96854a47;University of Oregon;University of Southern California;3;2;University of Oregon
ac66ed8b7111be9f67e6b3d0555d365d;Kansas State University;University of Kansas;2;3;University of Kansas
acc07c393a2ee7aa2b894ffefa30392a;University of Iowa;Rutgers University;3;0;University of Iowa
ad0710eccd07c18aca7607666a895c9f;Iowa State University;Baylor University;3;1;Iowa State University
adcce3b0612c09747c4532cfab73d930;Brigham Young University;Saint Mary's College;3;0;Brigham Young University
aebf870a7f9bf529bf09fb58a72438c7;Clemson University;North Carolina State University;3;1;Clemson University
afa4b5f7521401ea1b019c5d68788dfd;University of Oregon;University of Colorado, Boulder;3;0;University of Oregon
b040a1e17b51bb167361dcf58c689097;Mississippi State University;University of Arkansas;2;3;University of Arkansas
b09851f39f090f56b0cb7995465de14f;Pennsylvania State University;University of Illinois Urbana-Champaign;3;0;Pennsylvania State University
b0b9d051bf12678e3a0b846c50912cae;University of Florida;University of Missouri;3;0;University of Florida
b101ee8c1924b0fb472c4a0978df470a;University of Florida;University of Kentucky;0;3;University of Kentucky
b110116e4c445ed37b63d108d9a9080c;University of Kansas;University of Oklahoma;2;3;University of Oklahoma
b16c3931e312a1ece88c197581123380;University of Missouri;University of Arkansas;0;3;University of Arkansas
b1a82fd4870f48e1b39b2bb0b2bb4386;Brigham Young University;Gonzaga University;3;0;Brigham Young University
b20a80ff0f45f43b8fe33062646d1e1a;Syracuse University;Duke University;3;1;Syracuse University
b240873ce3e0f75165f604ae7ba25091;Ohio State University;University of Illinois Urbana-Champaign;3;0;Ohio State University
b24977c490eda261c04f2d386890243e;University of Maryland;Pennsylvania State University;1;3;Pennsylvania State University
b2898da27d46114f7439a77e6fe2c6da;University of Utah;University of Oregon;1;3;University of Oregon
b2f2555de76622f6660e92e469bac15f;Baylor University;University of Oklahoma;3;2;Baylor University
b31950ab09eb8fdb36e661c7d7ffe2a4;Florida State University;Virginia Tech;3;0;Florida State University
b3ac46d1e2a60c3489dd08d3a598b332;University of Oregon;Washington State University;3;1;University of Oregon
b3bebe09cc602866fe9893f5bd27f510;Georgia Institute Of Technology;Florida State University;3;0;Georgia Institute Of Technology
b4544c0d766bf0b4cdeec271541c60c4;Texas A&M University;Mississippi State University;1;3;Mississippi State University
b4ae57361faf70dd6ea5798d9be95e83;Purdue University;University of Maryland;0;3;University of Maryland
b4bc9433fdc53cb4b684073e968d9e6f;Texas Tech University;Baylor University;1;3;Baylor University
b4ebfad1f00ae17c12bb025e27e33ac4;Syracuse University;University of Notre Dame;0;3;University of Notre Dame
b515ee02857c2334ff80e031f2674b5a;Texas A&M University;University of Tennessee;0;3;University of Tennessee
b55025e5e489534d6fa11653fd765244;University of Notre Dame;Wake Forest University;3;2;University of Notre Dame
b588303b91d884facc8eff906d6ed1dd;University of Utah;University of California, Berkeley;3;0;University of Utah
b69ae561618c9c473c46e6d7a5db57d2;University of North Carolina;Clemson University;3;1;University of North Carolina
b77e5ed6446f9f34ad3379371404abd6;University of Maryland;University of Nebraska-Lincoln;1;3;University of Nebraska-Lincoln
b87c41990789627c65ec2d57b62aa16e;University of California, Los Angeles;Oregon State University;3;0;University of California, Los Angeles
b8905ae5162827c5fe6a030a332e2b59;Boston College;University of Notre Dame;1;3;University of Notre Dame
b8a657de638949181b1c435465cba521;Texas Christian University;University of Oklahoma;3;1;Texas Christian University
b99b74f48695f8b23a84ed693e842f6e;University of Michigan;University of Minnesota;0;3;University of Minnesota
b9deafabf33a0fbaee8da3730dbec072;Santa Clara University;University of San Francisco;3;0;Santa Clara University
ba2ef16536391aba2bf3c6991f03fc65;University of Miami;Virginia Tech;3;0;University of Miami
bae94c922050edefd3562d7c9a029206;Northwestern University;Rutgers University;3;0;Northwestern University
bb188d34831fb92ef47be5ec593ee510;Oregon State University;University of Oregon;1;3;University of Oregon
bbc2888ca36457fe0fd2840359cc6b96;West Virginia University;Texas Christian University;2;3;Texas Christian University
bbd140f1f1e9676411525502dae8a858;University of Arkansas;University of South Carolina;3;0;University of Arkansas
bbfca9c56407fce375723a9b189a38ff;University of Arkansas;University of Tennessee;3;0;University of Arkansas
bc1520fd4ee7d9c34d13776b96f84201;Clemson University;Virginia Tech;2;3;Virginia Tech
bc2eae40c98f067fad8a666f799f6681;University of California, Berkeley;University of Utah;2;3;University of Utah
bd29487607e18f4f7ef1ed3c39821882;Texas A&M University;University of Alabama;1;3;University of Alabama
bd848eb698ca1ef32552398d369fd911;University of Illinois Urbana-Champaign;Purdue University;2;3;Purdue University
bdb0a7264d2e54ed1b25a0d42911050c;Pepperdine University;Loyola Marymount University;1;3;Loyola Marymount University
bdc689b5e4d18f22e424b349002bbdcc;University of Arizona;Arizona State University;1;3;Arizona State University
be25b27ade471b4f88f2b6ea78d0c801;West Virginia University;University of Texas at Austin;0;3;University of Texas at Austin
be6ef45d1ed19b4fab63d8817446ce30;University of Louisville;Georgia Institute Of Technology;3;1;University of Louisville
bed47996501313aba519d76b9a6363ea;Gonzaga University;Pepperdine University;3;2;Gonzaga University
bf0820ccaf16dcc72cb961dbde71783e;Indiana University, Bloomington;Purdue University;2;3;Purdue University
bf8a805d6215b72f25cd274021a8ba6f;Michigan State University;University of Nebraska-Lincoln;0;3;University of Nebraska-Lincoln
c0329bab1d3a421888e9a882acf77350;Ohio State University;University of Iowa;3;1;Ohio State University
c0e54e54ae6bae48275033f057efdc0d;University of Virginia;Wake Forest University;0;3;Wake Forest University
c1a418ad09305957ca39440dfe68537d;Clemson University;Georgia Institute Of Technology;0;3;Georgia Institute Of Technology
c3047ebff7f3c8791fe1f8f8acbd80b2;University of South Carolina;University of Florida;1;3;University of Florida
c37bd343bee6a6e86ee6a7e5ce0d58d1;Clemson University;University of Virginia;3;1;Clemson University
c3a2b7dcf84802abd1d6326d66bdda25;Brigham Young University;University of San Francisco;3;0;Brigham Young University
c3ff7085f8c06dade5e8a0c760ada690;West Virginia University;Texas Tech University;2;3;Texas Tech University
c47c9d03cec15782befa23a520edee3e;Texas Tech University;Kansas State University;3;0;Texas Tech University
c52361ec372fb5663e6027048af66f41;University of South Carolina;University of Mississippi;1;3;University of Mississippi
c5be4eebf4c816f2c55ddd62c47fe60b;University of Arizona;University of Washington;3;2;University of Arizona
c653661bcd4fed57feef0dfab3da64cc;Baylor University;Texas Christian University;3;1;Baylor University
c66965899b45576c83fd80b31158cbe0;University of Georgia;University of Alabama;3;0;University of Georgia
